Category,"Slow AC recharging point, single-phase (P < 7.4kW)","Medium-speed AC recharging point, triple-phase (7.4kW ≤ P ≤ 22kW)","Fast AC recharging point, triple-phase (P > 22kW)",Slow DC recharging point (P < 50kW),Fast DC recharging point (50kW ≤ P <150kW),Level 1 - Ultra-fast DC recharging point (150kW ≤ P < 350kW),Level 2 - Ultra-fast DC recharging point (P ≥ 350kW)
Austria,708,16400,236,272,962,1346,168
Belgium,718,31132,286,118,507,910,86
Bulgaria,31,761,37,55,163,79,35
Croatia,20,846,40,34,244,74,24
Cyprus,2,169,4,2,5,6,
Czech Republic,6,2964,104,19,969,152,20
Denmark,387,11004,3225,33,311,1078,48
Estonia,,113,,108,65,21,4
Finland,14,7306,38,34,717,1088,26
France,34073,53604,1578,1904,4884,4998,1948
Germany,405,74390,1366,1020,4017,10883,1040
Greece,25,1392,24,8,19,30,
Hungary,15,2602,35,178,198,125,20
Ireland,156,1980,70,2,189,109,30
Italy,483,26575,5243,204,2598,1956,240
Latvia,1,202,140,17,150,20,2
Lithuania,14,686,124,19,135,32,8
Luxembourg,,1921,2,1,28,37,59
Malta,,94,,,,,
Netherlands,1334,131221,2759,177,657,2378,81
Poland,70,3111,219,174,783,136,39
Portugal,700,3817,1414,84,1314,217,49
Romania,22,1544,94,224,451,113,30
Slovakia,16,1430,87,71,386,117,9
Slovenia,20,1344,81,51,103,32,39
Spain,4583,16645,1986,442,2637,929,170
Sweden,5618,21630,304,61,914,2483,238
